Identification number:,Registration date:,Section,Subsection,(Organisation) name,Legal status:,Website address:,Head office country,Head office address,Head office city,Head office post code,Head office post box,Head office phone,Belgium office address,Belgium office city,Belgium office post code,Belgium office post box,Belgium office phone,Person with legal responsibility,Position:,Person in charge of EU relations,Position:,Goals / remit,Level of interest,EU initiatives,Relevant communication,High-level groups,Consultative committees,Expert groups,Inter groups,Industry forums ,Number of persons involved:,Full time equivalent (FTE),Number of EP accredited persons,Persons accredited for access to European Parliament premises,Fields of interest,Membership,Member organisations,Financial year: Start Date,Financial year: End Date,Estimate of costs (absolute amount),Estimate of costs (as a range),Turnover (absolute amount),Turnover (as a range),Clients,Procurement:,Source,Grants:,Source
712987314570-57,10/10/2014,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Hanover Communications International,SA,http://www.hanovercomms.com,Belgium,"Square de Meeus, 35",Brussels,1000,,(+32)25882601,,,,,,Christian Hierholzer,Managing Director,Christian Hierholzer,Managing Director,"Hanover Communications is an independent public affairs and corporate communications consultancy with special policy expertise in healthcare, financial services, trade, technology and energy, climate change and sustainability. With a client base from across Europe and beyond, Hanover uses an outcomes-focussed, flexible project management approach to help its clients achieve their business objectives through optimal integrated communication solutions. To that end, Hanover provides tailored, integrated services across the spectrum of public affairs, corporate communications and media relations for businesses, trade associations, NGOs and public sector organisations.","European, global, national, regional/local","- Digital Single Market Strategy 
- Portability 
- Copyright reform 
- Cable and Satellite Directive 
- Audiovisual Media Service Directive 
- Telecoms review 
- Wholesale roaming 
- Geo-blocking 
- Platform initiative 
- Intellectual Property Rights Enforcement Directive 
- E-privacy   
- Circular Economy Package 
- REACH review 
- Better regulation and REFIT initiatives 
- Energy Union 
- Energy Labelling Regulation 
- Energy Efficiency Directive 
- Energy Performance of Buildings Directive  
- Renewable Energy Directive and Bioenergy Sustainability 
- Ecodesign Directive 
- Ecolabel Regulation 
- Green Public Procurement 
- EU Strategy for Heating and Cooling 
- RoHS review 
- Personalised Medicines 
- EU Health Strategy 
- Garment Flagship Initiative 
- Trade and investment agreements 
- Product Safety and Market Surveillance Package 
- Union Customs Code 
- TDI Reform 
- Market Access Partnership 
- GSP/GSP+ 
- Trade Policy Strategy 
- Capital Market Union 
- Prospectus Directive 
- Bank Structural Reform 
- MIFID II Delegated Act 
- Automatic exchange or information between tax authorities 
- Implementation of the OECD BEPS Agreement",,,,,,,13,12.75,7,"HIERHOLZER Christian, KRIEGER Benjamin, LA DONNA Claudia, MACLACHLAN ALASTAIR, MARCHI Davide, MERCIER Youri, VERHAGE Lieuwe Martinus","General and Institutional Affairs, Economic and Financial Affairs, Audiovisual and Media, Trade, Competition, Consumer Affairs, Culture, Customs, Employment and Social Affairs, Energy, Enterprise, Environment, Taxation, Internal Market, Research and Technology, Public Health, Information Society, Sport, Transport, Climate Action, Communication","- BritCham  
- European Public Affairs Consultancies' Association (EPACA)",,01/01/2014,01/12/2014,,800000-899999,,>1000000,"EuropaBio, Metal Packaging Europe, Sustainable Apparel Coalition, COCIR, Time Warner, MSD, Siemens, BlackBerry, Lexmark, Pannonia, Hepatitis B&C Public Policy Association, Amgen, AbbVie, Celgene, Vertex, WL Ross & Co. LLC, Shire, European Heating Oil Association, Nickel Institute, European Branded Clothing Alliance",,,,
889762221474-21,21/04/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Dynamic Vision,PC,http://dynamicvision.gr/,Greece,"8, MERLIN STR.",ATHENS,10671,,(+30)2103611106,,,,,,DIMITRIOS KOKOSIOULIS,MANAGING DIRECTOR,DIMITRIOS KOKOSIOULIS,MANAGING DIRECTOR,"Project Management- Business Consultancy  
Dynamic Vision is oriented to offer its customers unique and customized solutions as far as their practices, processes and methodologies are concerned. The goal of all activities is to improve business performance of the client’s organization. 
 
 Before we recommend any alteration to our customers’ organization, we discuss. We map our customers’ plans, short and long term goals. It is important to identify the “pain” that needs to be addressed. 
Once the need is located, we proceed to formulate and propose the change initiative we believe suits our customers’ profile. Every project we undertake is therefore unique. We work with our customers; we collaborate to extract the maximum value for both parties. Funded programs demand thorough understanding of the notion of project management and that is what we do; we comprehend and deliver. The next step is materialization. Here we apply our technical and operational expertise, to meet deadlines, deliverables and reports. Every project is of vital importance for us, since like our customers, we wish to grow, one successful project at a time.",global,"Our services in both sectors are presented in short below: 
 
Public Sector  
•    Health innovative ventures/ Health Policies & economics 
•    EU Legal Conformity   
•    Institution building 
•    Institutional support for the planning, manage¬ment & administration of programs 
•    Employment Policy 
•    Advanced ICT Services for Health care 
•    Establishment & Restructuring of Public Institu¬tions  
•    Local & regional development 
•    Quality Infrastructure (technical regulations, standards, conformity assessment, metrology) 
•    Environment, environmental protection & Energy  
•    Public Finance & Economic Development 
 
Private Sector  
•    Funding Consultancy 
•    Market Research & Analysis  
•    Customized Business Planning 
•    Feasibility Studies  
•    Exploration of Business Opportunities in foreign & domestic Markets  
•    Development of Small & Medium Enterprises 
•    Bilateral Business Promotion  
•    Investment Promotion",,,,,,,8,7.25,,,"General and Institutional Affairs, Humanitarian Aid, Audiovisual and Media, Consumer Affairs, Culture, Development, Education, Enlargement, Employment and Social Affairs, Enterprise, Environment, Justice and Fundamental Rights, Regional Policy, External Relations, Public Health, Information Society, Climate Action, Communication",,,01/01/2015,01/12/2015,,100000-199999,,100000-499999,"ALLANTON PRIVATE COMPANY, HYDEA AUDITS, EUROPEAN PUBLIC LAW ORGANIZATION, TOMRA LEADS, HELECTOR S.A, EPADYM, MUNICIPALITY OF SAMOS, MUCIPALITY OF LESVOS",120000,NATIONAL STRUCTURAL FUNDS,,
449520321827-10,19/05/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Global Sustain Limited (Global Sustain LTD),Limited,http://globalsustain.org,United Kingdom,"10, John Street London",LONDON,WC1N 2EB,,(+44)20 7067 4300,Rue d' Arlon 63  B-1040 Brussels,BRUSSELS,,,(+32)487 73 87 59,Michael Spanos,Managing Director,Yannis Salavopoulos,Managing Director Germany & Int. Affairs,"Our shared Vision 
 
""Lead sustainable change for a better future"" 
 
A sustainable world where organisations embrace responsibility and respect for human and natural capital in their quest for growth. 
 
Mission 
 
To create awareness, inspire and support companies and organisations in sustainability, through advisory, communications, networking and training, guided by the people-planet-profit concept. 
 
Ways of Working 
Innovation 
Ethic and Integrity 
Clear Purpose 
Collaboration 
Exchange of Knowledge and Experience 
Team spirit 
 
Since 2006, Global Sustain has evolved in response to sustainability challenges, providing a wide range of services and solutions to support its members succeeding triple bottom line results. Based in Basel, Berlin, Brussels, Dubai, London, Melbourne, Sri Lanka and Athens, Global Sustain offers innovative online and off-line services related to sustainability, corporate responsibility, responsible investing, green economy, business ethics and excellence, transparency, human rights and accountability. Its members include corporations, non-governmental and non-profit organisations, municipalities and local authorities, academic institutions, media, professional bodies, service providers, chambers, think tanks and other public or private entities. Global Sustain:  
Facilitates synergies among members, between the corporate and third sectors as well as key stakeholders. 
Effectively communicates CSR and sustainability news, reports, events and information on behalf of members and clients, with a geographic focus on Europe and with a global audience. 
Is a UN Global Compact signatory and founding member of the Global Compact Network Hellas since 2008 and member of United Nations Global Compact Network Belgium, since November 2012. 
Is a signatory to the United Nations-supported Principles for Responsible Investment (PRI) Initiative, an international network of investors working together to put the six Principles for Responsible Investment into practice. 
Is a member and partner of CSRwire, Inc., U.S.A., The Corporate Social Responsibility Newswire. 
Collaborates with numerous other leading organisations, including Ethical Performance, U.K. 
Is a GRI Data Partner and GRI Organisational Stakeholder (OS). 
Is an affiliate member of  ABIS - Academy of Business in Society, since February 2013. 
Annually funds hard-needed not-for-profit projects making an impact. 
Has financed 17 charitable projects carried out by Global Sustain's NGO members to date. 
Participates in, presents at and officially supports local, regional and international conferences, events and exhibitions organised by prestigious companies and organisations, including Economist Conferences, Ethical Corporation, FT Business, Social Capital Media - SOCAP/Europe, Transparency International, TBLI Conference B.V., EBD Group AG, Institute of Directors (IOD) India, Enterprise Asia and many others. 
Organises numerous conferences and events, including the Sustainability Forum, a training, networking and professional development event. 
Conducts research on sustainability, CSR, the green economy and the third sector for members and clients. 
Operates as a 100% carbon neutral firm. 
Has published seven (7) Yearbooks to date. 
Can be followed on Twitter (@GlSustain), Facebook (Global Sustain), LinkedIn (Global Sustain) and YouTube (Global Sustain).",global,"Sustainable Development Goals, Sustainability, Corporate Social Responsibility, Non financial reporting, ESG Investing","Communication on Progress (COP), Corporate Social Responsibility Report, Sustainability Forum, Yearbook",,,"The Role of Science, Technology and Innovation Policies to Foster the Implementation of the Sustainable Development Goals (SDGs) 
 
Report of the Expert Group “Follow-up to Rio+20, notably the SDGs” 
 
The independent Expert Group on the “Follow-up to Rio+20, notably the Sustainable Development Goals (SDGs)” was established by the European Commission with the purpose of providing advice on the role of science, technology and innovation (STI) for implementing the new sustainable development agenda (""2030 Agenda""). The Report presents, as indicated in the Terms of Reference, “a reference framework in which research and innovation policy and related implementation measures are seen as engines of a transformative agenda built around universally applicable sustainability goals”. Moreover, the Report provides recommendations, both in terms of general policy orientations and concrete areas of engagement, for EU STI policy to contribute to the implementation, in Europe and beyond, of the 2030 Agenda, as well as for possible engagements in international initiatives concerning STI. Finally, the annex contains proposals to better align the Horizon 2020 tracking system to the SDGs.  
 
Science, technology and innovation is a key tool for moving the world onto a sustainable 
path.",,,3,3,,,"General and Institutional Affairs, Economic and Financial Affairs, Agriculture and Rural Development, Humanitarian Aid, Audiovisual and Media, Budget, Trade, Competition, Consumer Affairs, Culture, Development, Education, Enlargement, Employment and Social Affairs, Energy, Enterprise, Environment, Taxation, Youth, Justice and Fundamental Rights, Internal Market, Fisheries and Aquaculture, Foreign and Security Policy and Defence, Regional Policy, External Relations, Trans-European Networks, Public Health, Food Safety, Sport, Transport, Climate Action, Home Affairs, Communication, Financial Stability, Financial Services and Capital Markets Union",http://globalsustain.org/en/aboutus/partners,http://globalsustain.org/en/members,01/06/2015,01/12/2015,,0-9999,,0-99999,,,,,
827737421830-30,19/05/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Atlantic Energy Ltd (Atlantic Energy),Limited company,,United Kingdom,Quenchwell Carnon Downs Truro,Truro,TR3 6LN,,(+44)1872864488,,,,,,Charmian  Larke,Director,Charmian  Larke,Director,consultancy in renewable energy and assistance with communities and regions to increase their resilience and sustainability especially in local energy and food.,national,"energy policy 
climate action policy 
waste recycling 
food and sustainable phosphorus 
air pollution  
circular economy 
TTIP","regional energy management 
Horizon 2020 
energy conferences",,,,,,1,0.25,,,"Agriculture and Rural Development, Trade, Energy, Environment, Fisheries and Aquaculture, Regional Policy, Research and Technology, Food Safety, Climate Action","Renewable Energy Office for Cornwall 
Royal Society of Arts 
Regen SW",,01/04/2015,01/03/2016,,0-9999,0,,,,,,
266487521974-32,27/05/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Deviller Environmental Risk Assessment of Chemicals (DERAC),none,,France,17 Boulevard des Chenes,Marseille,13009,,(+33)623214008,,,,,,Genevieve Deviller,director,Genevieve Deviller,director,"DERAC is a scientific consultancy dedicated to the Environmental Risk Assessment of Chemicals linking research and regulatory worlds.  
Built on more than 10 years experience in research institutions, regulatory bodies, as well as industry, DERAC has an unique and independent expertise in this field and can offer a range of high-quality services to customers from public and private sectors. These include research in environmental fate and toxicity, regulatory registration dossiers preparation, drafting/ review of guidance and expert reports, courses including lectures, tutorials and practical’s.  
DERAC offers multilingual support and features collaborations with selected partners to provide the best service to customers.",European,"REACH 
Biocides (BPD and BPR) 
Water Framework Directive 
Ospar 
Horizon 2020 
Marine Strategy Framework Directive",,,,Biocides group through European Biocidal Products Forum of Cefic,,,1,0.5,,,"Environment, Fisheries and Aquaculture, Research and Technology, Public Health, Food Safety, Climate Action",SETAC member,,,,0,,0,,,,,,
000439122170-72,09/06/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Országos Magyar Méhészeti Egyesület (OMME),association,http://omme.hu,Hungary,Viola u. 50.,Budapest,1094,,(+36)12160015,,,,,,Peter Bross,chairman,Laurence Bonafos,market officer,"our members are beekeepers, so our main goals to create a sustainable environment for bees and create a fair market for our honey.",European,"Honey Directive 
National Beekeeping Program",,,,,,,1,0.25,,,"Agriculture and Rural Development, Trade, Internal Market, Climate Action","Apimondia 
European Professional Beekeepers Federation",,01/01/2015,01/12/2015,,0-9999,,0-99999,,,,,
167585722136-87,07/06/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Spanish VAT Services Asesores SL,Sociedad de responsabilidad limitada,http://www.spanishvat.es,Spain,Calle Principe de Vergara 97 1ºA,Madrid,28006,,(+34)650105342,,,,,,Fernando Matesanz Cuevas,Director General,Fernando Matesanz Cuevas,Director General,"Asesoramiento a empresas y organizaciones empresariales sobre la correcta aplicación de las Directivas, Reglamentos y resto de legislación comunitaria en materia del IVA.",European,Toda la Actividad de TAXUD relativa al sistema común del IVA.,,,,,,,1,0.5,,,"Customs, Taxation",,,01/01/2015,01/12/2015,,0-9999,200000,,,,,,
747483022416-04,21/06/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Chelco VAT Ltd (ChelcoVAT),Limited,http://www.chelcovat.com/,Cyprus,"Helios Court, 1st Floor 221, Chr. Chatzipavlou Str",Limassol,3036,,(+357)25871200,,,,,,Alexis Tsielepis,Managing Director,Alexis Tsielepis,Managing Director,"Chelco VAT's mission is to offer businesses the support they need to function effectively in this complicated VAT environment, which requires a high level of experience and knowledge. 
 
The company constitutes the only VAT-dedicated services company in Cyprus.  
 
It's Managing Director, Alexis Tsielepis, serves on the 15-member VAT Committee of the Institute of Certified Public Accountants of Cyprus since 2004, under various roles within the Committee. It is the only Commitee in Cyprus that discusses VAT policy-making between the private sector, the Cyprus VAT Authorities  as well as the Cyprus Ministry of Finance.  
 
Chelco VAT also undertakes VAT training for both private and public sector, including officers of the Cyprus Audit Office.","European, national","Action plan on VAT adopted 7 April 2016, including discussions on fight against fraud, definitive VAT system, e-commerce for SMEs and new approach to VAT rates.  
 
Derogations for CZ and AUT re generalised reverse charge 
 
Definition of immovable property through IMplementing Directive and Explanatory Notes 
 
Vouchers Directive",,,,,,,1,0.25,,,Taxation,,,01/01/2015,01/12/2015,,0-9999,0,,,,,,
065399321943-63,26/05/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,ALPHALEX-CONSULT GEIE,GEIE,http://alphalex-consult.eu,Belgium,"Avenue de la Joyeuse Entrée, 1",Bruxelles,1040,,(+32)23618806,,,,,,Henri Thomé,Gérant,Henri Thomé,Gérant,"Le GEIE se propose, à travers un accès à un réseau de hautes personnalités nationales et européennes, de fournir à ses clients du conseil stratégique ainsi que des veilles actives ou passives dans tous les domaines européens. En s'appuyant sur un réseau international, il propose des actions ciblées de lobbying et de business development conjuguées à l'expertise dans l'intelligence économique.",European,"Sécurité, énergie, transports, infrastructures, formation, numérique.",Néant,,,,,,2,1,,,"General and Institutional Affairs, Economic and Financial Affairs, Audiovisual and Media, Trade, Competition, Consumer Affairs, Development, Customs, Enlargement, Energy, Enterprise, Environment, Taxation, Justice and Fundamental Rights, Internal Market, Foreign and Security Policy and Defence, Regional Policy, Research and Technology, External Relations, Trans-European Networks, Public Health, Food Safety, Information Society, Sport, Transport, Home Affairs, Communication, Financial Stability, Financial Services and Capital Markets Union",Néant,néant,,,0,,0,,,,,,
377204621931-71,25/05/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,WPP 2005 Limited (WPP),corporation,http://www.wpp.com,United Kingdom,27 Farm Street  27 Farm Street,London,W1J 5RJ,,(+44)02073185448,,,,,,Andrea Harris,Group Chief Counsel,Laure  Van Hauwaert,Managing Director EU Institutions  Government & Public Sector Practice,"WPP is the world's largest communications services group, employing 190,000 people* working in 3,000 offices in 112 countries.",global,"no specific initiatives or files as such 
interested in the EU's communication priorities","Framework contracts in the field of market research, communication, events, media, events, media monitoring and communications impact evaluation",,,,,,1,0.25,,,"Audiovisual and Media, Consumer Affairs, Culture, Education, Enterprise, Environment, Youth, Justice and Fundamental Rights, Regional Policy, Public Health, Information Society, Climate Action, Communication",http://www.wpp.com/annualreports/2015/,http://www.wpp.com/wpp/companies/,01/01/2015,01/12/2015,,50000-99999,,0-99999,,,,,
308654522058-22,01/06/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Policy Sonar s.r.l.,società responsabilità limitata,http://www.policysonar.com,Italy,Via Parigi n. 11,Roma,00185,,(+39)064815219,,,,,,Francesco Galietti,CEO,Francesco Galietti,CEO,"attività di monitoraggio legislativo, valutazione di impatto regolatorio, analisi ed elaborazione di studi",global,Circular economy,Circular economy,,,,,,2,1,,,"Economic and Financial Affairs, Trade, Competition, Consumer Affairs, Energy, Enterprise, Taxation, Foreign and Security Policy and Defence, Food Safety, Sport, Transport",nessuna,nessuna,01/01/2015,01/12/2015,8000,,12000,,,,,,
298942522060-94,01/06/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,The Executive Academy Limited (ExAc),UK private limited company,,United Kingdom,3 Melford Avenue,Glasgow,G46 6NA,,(+44)7768392229,,,,,,David Kinnon,Director,David Kinnon,Director,"To provide c-suite executives with education in financial and financial reporting matters, coupled with operational and financial restructuring advisory services, linked to Alternative Dispute Resolution and litigation support where necessary",national,"Company law, competition law, employment law",,,,,,,1,0.25,,,"Economic and Financial Affairs, Trade, Competition, Employment and Social Affairs, Energy, Enterprise, Research and Technology, Information Society, Communication, Financial Stability, Financial Services and Capital Markets Union",Institute of Chartered Accountants of Scotland; Association of Corporate Treasurers; Association of British Recovery Professionals; Chartered Institute of Marketing,American Bankruptcy Institute. Turnaround Management Association; INSOL,,,0,,0,,,,,,
402509922248-14,13/06/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,rph management gmbh (rph),gmbh,http://www.swissccs.ch,Switzerland,Bibersteinerstrasse 14,Rombach,5022,,(+41)628391125,,,,,,Robert P. Hilty,Geschäftsführer,Robert P. Hilty,Geschäftsführer,"Das Schwergewicht der Lobbyingaktivitäten sind: 
1. Normierung (ISO/CEN/SNV) 
2. Vertrauensbildende Massnahmen im elektronischen 
    Geschäftsverkehr 
3. Datenschutz 
4. Medical devices 
5. DRG 
6. Beratung im Bereich Sicherheit","European, global, national, regional/local","Datenschutzrichtlinie 
Datenaustausch EU - USA","Wir führen die Geschäftsstelle der SPAG (Dachverband der Schweizer Lobbyisten www.spag-sspa.ch). 
R. Hilty ist deren Generalsekretär",,,,,,3,1.75,1,Hilty Robert P.,"Foreign and Security Policy and Defence, Research and Technology, Trans-European Networks, Public Health, Information Society, Communication","www.seap.be 
www.spag-sspa.ch 
www.snv.ch 
www.s-ge.ch 
www.xing.com",,01/01/2015,01/12/2015,,50000-99999,,0-99999,"Schweiz. Normenvereinigung SNV, Schweiz. Public Affairs Gesellschaft",,,,
944557822891-36,01/08/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,ITEX (ITEX),Srls,http://www.itex.one,Italy,"Via G.Guidicini,16",Bologna,40137,,(+39)0621127763,,,,,,Maurizio Mazzavillani,PRESIDENT,RENATO CELOTTO,CONSULTANT,"ITEX accompagna l'imprenditore alla ricerca delle migliori soluzioni e strategie per risolvere ed affrontare il mercato, un mercato in continua evoluzione, sempre più avido ed esigente.","European, global, national, regional/local","Agenda 2020 
Innovation  
Smart city",,,,,,,1,0.25,,,"General and Institutional Affairs, Economic and Financial Affairs, Enterprise, Information Society, Communication",Euteam,ABC Network,,,0,,0,,,,,,
933293622767-74,22/07/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,ScienceConsult BV (ScienceConsult),BV ('besloten vennootschap' according to Dutch law),http://www.scienceconsult.eu,Netherlands,Leerlooierij 24,Steenbergen,4651SM,,(+31)633785582,,,,,,Nico van Belzen,Director General,Nico van Belzen,Director General,"ScienceConsult offers over twenty years of experience in health-related science and its management, both in food/beverage and biomedicine. Key areas of expertise are general management and worldwide representation of an international scientific institute, stakeholder interactions, food/beverage regulatory affairs, food safety, nutrition, product development, marketing support, business development, second opinions and strategic support. ScienceConsult has access to a large scientific network in the food and beverage industry, government and academia.",global,Food safety and nutrition policy,"Food safety and nutrition policy implementation, PR and communication activities in behalf of clients. Currently at global (e.g. FAO, CFS) level.",,,,,,1,1,,,"Trade, Environment, Research and Technology, Public Health, Food Safety, Climate Action, Communication","Professional societies related to food safety, nutrition, bioeconomy","ScienceConsult BV has no members, only customers",01/01/2015,01/12/2015,,0-9999,,0-99999,International Dairy Federation,,,,
898001322421-32,21/06/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Associazione Italiana Politiche Industriali (AIP),Associazione,http://www.aipitalia.org,Italy,"Piazza del Tricolore, 1",Milano,2012,,(+39)0276005962,,,,,,Domenico Palmieri,Presidente,Domenico Palmieri,Presidente,"Nata nel 1987, AIP si occupa di effettuare studi e ricerche finalizzati alla presentazione di proposte volte a migliorare la competitività del sistema produttivo supportando anche  attraverso attività di consulenza Enti e Imprese. 
Dal 2006, prima in Italia, si occupa di approfondire e sviluppare le tematiche relative alle reti di impresa di nuova generazione e alle modalità di aggregazione (Cluster ecc.).","European, national, regional/local","Modelli di aggregazione: Cluster, Poles de Competitivité e Reti di Impresa.","AIP ha pubblicato 4 volumi rappresentativi delle ricerche e proposte di politica industriale sulle Reti d’Impresa: •    MODELLI DI CRESCITA DELLE PMI (2007) - RETI D’IMPRESA OLTRE I DISTRETTI (2008) - FARE RETI D’IMPRESA (2009) - RETI D’IMPRESA: PROFILI GIURIDICI, FINANZIAMENTO E RATING (2011).",,,,,,3,3,,,"General and Institutional Affairs, Economic and Financial Affairs, Enterprise, Regional Policy, Trans-European Networks, Financial Stability, Financial Services and Capital Markets Union",,,01/01/2015,01/12/2015,,25000-49999,,0-99999,,,,,
901695922446-11,23/06/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Communications Chambers RK Ltd,Corporation,http://www.commcham.com,United Kingdom,3 Oakthorpe Road,Oxford,OX2 7BD,,(+44)7738582227,,,,,,Robert Kenny,Director,Robert Kenny,Director,"A consultancy advising companies, trade bodies, regulators and governments on issues of TMT strategy & policy",global,Internet policy (including broadband),"We prepare papers for publication and make associated presentations on topics of interest to our organisation and our clients. 
 
We seek to ensure that these are evidence based and founded on solid practice and logic",,,,,,1,0.25,,,"Audiovisual and Media, Competition, Information Society, Communication",Communications Chambers RK Ltd regularly works alongside other organisations sharing the Communications Chambers brand,,01/01/2015,01/12/2015,0,,0,,[No EU related clients in last financial year],,,,
278527022698-23,14/07/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Chelgate Public Affairs Limited,Limited Company,http://www.chelgatepublicaffairs.ie,Ireland,Unit 3D North Point House North Point Business Park New Mallow Road,Cork,,,(+353)21 2066845,Rue Breydel 40,1040 Brussels,,,(+32)022358608,Mathew Lane,Company Secretary,Mathew Lane,Company Secretary,"Chelgate Public Affairs is an independent, international strategic Public Affairs agency, with offices in Cork, Ireland and Brussels, as well as a network of associates around the globe. 
 
We offer our clients – companies, charities, governments, schools and individuals – a strategic public affairs service, both here in Ireland and at the European Parliament. In addition through our affiliate company, Chelgate Limited, we offer a comprehensive range of professional services, including PR, reputation & relationship management, public affairs, crisis management and international PR.",European,"We provide up-to-the-minute intelligence into political developments in Brussels. We understand the complex cycles and procedures of European government – in particular in the Commission and in Parliament – and we know where to turn for vital information. Our intelligence is relevant to commercial and political clients, including those from outside of Europe. 
 
We give clients the analysis and understanding they need to operate effectively in Brussels. Our experience allows us to provide information and insight that is relevant to our clients’ interests, and we are expert at explaining – concisely and clearly – which European legislation, regulations, executive decisions and elections really matter to them, and why.","We give clients influence over European policy-making, legislation and regulations. Operating within a strict ethical and legal framework, we allow clients to make their views about upcoming European decisions known. We help clients make their cases effectively, to the right audiences, at the right time.",Monitoring the actions and activities of the transport and environment commission.,Monitoring the actions and activities of the transport and environment commission.,Monitoring the actions and activities of the transport and environment commission.,Monitoring and engaging on issues relating to transport and environment.,Monitoring and engaging on issues relating to transport and environment.,5,3.25,,,"General and Institutional Affairs, Consumer Affairs, Energy, Environment, Foreign and Security Policy and Defence, Research and Technology, Trans-European Networks, Information Society, Transport, Climate Action, Financial Stability, Financial Services and Capital Markets Union",,,,,0,,,0-99999,,,,,
